long_word,hyphenated,confidence,note
krigsförklaring,krigs­förklaring,high,
Kristdemokraterna,Krist­demokraterna,high,
kronprinsessan,kron­prinsessan,high,
Kronprinsessan,Kron­prinsessan,high,
kroppstemperaturen,kropps­tempera­turen,high,
Kungsträdgården,Kungs­trädgården,high,
kvicksilverånga,kvick­silver­ånga,high,
kvicksilverbarometer,kvick­silver­baro­meter,high,
kyrktornsprincipen,kyrk­torns­principen,high,
Kyroskrönikan,Kyros­krönikan,high,
Landstigningen,Land­stigningen,high,
landsvägscykling,landsvägs­cykling,high,
längdskidåkning,längd­skid­åkning,high,
Lärarförbundet,Lärar­förbundet,high,
Liechtenstein,Liech­ten­stein,medium,proper noun; German-style component split
ljudhastigheten,ljud­hastigheten,high,
magnesiumsulfat,magnesium­sulfat,high,
människohuvud,människo­huvud,high,
manusförfattarens,manus­författarens,high,
marginalränta,marginal­ränta,high,
Marianergraven,Marianer­graven,high,
Marshallöarna,Marshall­öarna,high,
Marshallplanen,Marshall­planen,high,
Maskeradligan,Maskerad­ligan,high,
Massachusetts,Massa­chusetts,medium,English proper noun; syllable break
metatarsalben,metatarsal­ben,high,
Midvinterblot,Mid­vinter­blot,high,
militärrådgivare,militär­rådgivare,high,
miljörörelsen,miljö­rörelsen,high,
ministerrådet,minister­rådet,high,
Mississippifloden,Mississippi­floden,high,
mjältbrandsattackerna,mjältbrands­attack­erna,high,
möbelkollektionen,möbel­kollek­tionen,high,
Monopolspelet,Monopol­spelet,high,
mordrättegång,mord­rättegång,high,
morsealfabetet,morse­alfabetet,high,
Muhammedkarikatyrerna,Muhammed­karika­tyrerna,high,
musiktalangtävling,musik­talang­tävling,high,
musiktopplista,musik­topp­lista,high,
Näckrosdammen,Näckros­dammen,high,
nationaliserar,nationa­liserar,medium,not a compound; syllable break
nationalmuseum,national­museum,high,
Nationalteatern,National­teatern,high,
Nederländerna,Neder­länderna,high,
nervgasattacken,nervgas­attacken,high,
Niagarafallen,Niagara­fallen,high,
Nobelpriserna,Nobel­priserna,high,
Nordvästpassagen,Nord­väst­passagen,high,
nyhetsprogram,nyhets­program,high,
nyutexaminerad,ny­utexa­minerad,medium,prefix + Latin-root; mixed split
offentliggörs,offentlig­görs,high,
Oklahomabombaren,Oklahoma­bombaren,high,
Oktoberfolket,Oktober­folket,high,
omslagsbilder,omslags­bilder,high,
oövervinnliga,o­över­vinnliga,medium,single-letter prefix; second break is the strong one
Öresundsförbindelsen,Öresunds­förbind­elsen,high,
Orientexpressen,Orient­expressen,high,
ormbunksväxter,ormbunks­växter,high,
överbeskyddande,över­beskyddande,high,
Overprotected,Over­protected,high,
påfågelciklid,påfågel­ciklid,high,
paniksparande,panik­sparande,high,
pansaranfallet,pansar­anfallet,high,
pappersklämma,pappers­klämma,high,
parfymföretag,parfym­företag,high,
Parisfördraget,Paris­fördraget,high,
Parisupploppen,Paris­upploppen,high,
passionsfrukt,passions­frukt,high,
Paulskatedralen,Pauls­katedralen,high,
Pelikanfallet,Pelikan­fallet,high,
Peloponnesiska,Pelo­ponne­siska,medium,Greek-origin adjective; syllable break
personifieringen,personi­fieringen,medium,not a compound; syllable break
polaroidbilder,polaroid­bilder,high,
Politkovskaja,Polit­kovskaja,medium,Russian surname; rough syllable break
Portsmouthfördraget,Portsmouth­fördraget,high,
postmodernism,post­modernism,high,
Potalapalatset,Potala­palatset,high,
Powerpuffpinglorna,Powerpuff­pinglorna,high,
premiärminister,premiär­minister,high,
presidentperiod,president­period,high,
Produktionsbolag,Produktions­bolag,high,
produktionsbolaget,produktions­bolaget,high,
produkttester,produkt­tester,high,
programledare,program­ledare,high,
programledaren,program­ledaren,high,
radioaktivitet,radio­aktivitet,high,
ränteavdragsrätten,ränte­avdrags­rätten,high,
rättigheterna,rättig­heterna,medium,inflectional; suffix break
rättvisemärke,rättvise­märke,high,
realitystjärna,reality­stjärna,high,
reformationen,refor­mationen,medium,not a compound; syllable break
Regeringsformen,Regerings­formen,high,
regnbågsflaggan,regnbågs­flaggan,high,
Religionfrihetslagen,Religion­frihets­lagen,high,data has 'Religion' without -s-; preserved as-is
Riksdagsordningen,Riksdags­ordningen,high,
rollercoaster,roller­coaster,high,
rombkuboktaeder,romb­kub­oktaeder,high,
rullstolsburen,rullstols­buren,high,
Rwandakommission,Rwanda­kommission,high,
Sakellaropoulou,Sakella­ropoulou,low,Greek surname; not confident on syllable boundaries
Sällskapsresan,Sällskaps­resan,high,
Sammansvärjningen,Samman­svärjningen,high,
sändningsdatum,sändnings­datum,high,
schackmästaren,schack­mästaren,high,
Schwarzenegger,Schwar­zenegger,medium,Austrian surname; rough split
Scovilleskalan,Scoville­skalan,high,
septemberrörelsen,september­rörelsen,high,
sexdagarskriget,sexdagars­kriget,high,
Silariusfloden,Silarius­floden,high,
silverstjärna,silver­stjärna,high,
siminstruktör,sim­instruktör,high,
självförvaltning,själv­förvaltning,high,
självständigheten,själv­ständig­heten,high,
självständighetskriget,själv­ständighets­kriget,high,
självständigt,själv­ständigt,high,
sjöflygplanet,sjö­flygplanet,high,
sjöförbundets,sjö­förbundets,high,
sjukgymnasten,sjuk­gymnasten,high,
Skagerrakslaget,Skagerraks­laget,high,
skaldjursutomjordingsläkare,skaldjurs­utom­jordings­läkare,high,
skandinaviska,skandi­naviska,medium,not a compound; syllable break
skandinavismen,skandi­navismen,medium,not a compound; syllable break
Skärgårdsdoktorn,Skärgårds­doktorn,high,
skönhetsfläck,skönhets­fläck,high,
Smålandsposten,Smålands­posten,high,
socialbidragsberoendet,social­bidrags­beroendet,high,
Socialdemokraterna,Social­demokraterna,high,
solobestigning,solo­bestigning,high,
Sovjetunionen,Sovjet­unionen,high,
Spindelmannen,Spindel­mannen,high,
sportinriktning,sport­inriktning,high,
sprintlöpning,sprint­löpning,high,
statsbankrutt,stats­bankrutt,high,
statskuppsförsöket,statskupps­försöket,high,
statsminister,stats­minister,high,
statsministern,stats­ministern,high,
stilleståndsavtal,stillestånds­avtal,high,
Stockstötning,Stock­stötning,high,
Storbritannien,Stor­britannien,high,
stuprörspolitik,stuprörs­politik,high,
Successionsordningen,Succes­sions­ordningen,high,
superdevalvering,super­devalvering,high,
superintelligent,super­intelligent,high,
Supernaturals,Super­naturals,high,
svenskspråkiga,svensk­språkiga,high,
Sverigedemokraterna,Sverige­demokraterna,high,
Svinalängorna,Svina­längorna,high,
taggutskottet,tagg­utskottet,high,
terroristattackerna,terrorist­attack­erna,high,
Tetoffensiven,Tet­offensiven,high,
tillväxthormon,tillväxt­hormon,high,
Tjeckoslovakien,Tjecko­slovakien,high,
Tjetjenienkriget,Tjetjenien­kriget,high,
tobakshandlaren,tobaks­handlaren,high,
Tonkinbuktintermezzot,Tonkin­bukt­intermezzot,high,
Torekovskompromissen,Torekovs­kompromissen,high,
torgmassakern,torg­massakern,high,
trädgårdstomte,trädgårds­tomte,high,
Trainspotting,Train­spotting,high,
Transnistrien,Trans­nistrien,medium,proper noun; transparent prefix
Trettondagsafton,Trettondags­afton,high,
trikuspidalis,triku­spidalis,medium,medical Latin; syllable break
tronföljdskriget,tronföljds­kriget,high,
truckerkepsen,trucker­kepsen,high,
tvåhjärtbladiga,två­hjärt­bladiga,high,
tvångssparandet,tvångs­sparandet,high,
Tyrannosaurus,Tyranno­saurus,high,
underklädslinning,under­kläds­linning,high,
Undervattenshockey,Under­vattens­hockey,high,
undervattensrugby,under­vattens­rugby,high,
universitetet,univer­sitetet,medium,not a compound; syllable break
Uppsalamaffian,Uppsala­maffian,high,
Vänsterpartiet,Vänster­partiet,high,
vänstertrafik,vänster­trafik,high,
världskrigets,världs­krigets,high,
världsmästare,världs­mästare,high,
världsomseglingen,världs­omseglingen,high,
varmluftsballong,varmlufts­ballong,high,
Vasilijkatedralen,Vasilij­katedralen,high,
Vatikanmuseerna,Vatikan­museerna,high,
Vatikanstaten,Vatikan­staten,high,
Vattenfestivalen,Vatten­festivalen,high,
Vattenmelonen,Vatten­melonen,high,
vattenstämpel,vatten­stämpel,high,
Versaillesfreden,Versailles­freden,high,
Victoriafallen,Victoria­fallen,high,
Vietnamkriget,Vietnam­kriget,high,
vinterlandskap,vinter­landskap,high,
Warszawapakten,Warszawa­pakten,high,
Watergateskandalen,Watergate­skandalen,high,
Yttrandefrihetsgrundlagen,Yttrande­frihets­grund­lagen,high,
zombiegorillorna,zombie­gorillorna,high,
